visa,country,sum
TOTAL,Tuvalu,4837
TOTAL,Uganda,1084
TOTAL,Ukraine,5506
TOTAL,United Arab Emirates,38001
TOTAL,United Kingdom,659177
TOTAL,United States Minor Outlying Islands,11
TOTAL,United States of America,194763
TOTAL,Uruguay,6255
TOTAL,Uzbekistan,711
TOTAL,Vanuatu,11595
TOTAL,Vietnam,37499
TOTAL,"Virgin Islands, British",162
TOTAL,Wallis and Futuna,155
TOTAL,Yemen,325
TOTAL,"Yugoslavia (to Aug 2003), Serbia and Montenegro (from Sep 2003)",454
TOTAL,Zambia,1872
TOTAL,Zimbabwe,17048
Visitor,Afghanistan,2728
Visitor,Africa and the Middle East,127354
Visitor,Algeria,118
Visitor,Argentina,7478
Visitor,Asia,454480
Visitor,Australia,19066
Visitor,Austria,4002
Visitor,Bangladesh,2390
Visitor,Belgium,1320
Visitor,Botswana,398
Visitor,Brazil,23038
Visitor,Brunei Darussalam,498
Visitor,Bulgaria,518
Visitor,Cambodia,3254
Visitor,Canada,12086
Visitor,Chile,8646
Visitor,China,89084
Visitor,Colombia,1222
Visitor,Cook Islands,622
Visitor,Cyprus,294
Visitor,Czechia,2670
Visitor,Denmark,1604
Visitor,Egypt,928
Visitor,Europe,162160
Visitor,Fiji,55512
Visitor,France,7730
Visitor,Germany,14284
Visitor,Hong Kong (Special Administrative Region),8740
Visitor,Hungary,1834
Visitor,Iceland,260
Visitor,India,119642
Visitor,Indonesia,5788
Visitor,Iran,1700
Visitor,Iraq,924
Visitor,Ireland,5548
Visitor,Israel,3768
Visitor,Italy,3744
Visitor,Japan,18540
Visitor,Jordan,712
Visitor,Kenya,856
Visitor,Kiribati,2768
Visitor,South Korea,69096
Visitor,Kuwait,1706
Visitor,Laos,322
Visitor,Latvia,290
Visitor,Macau (Special Administrative Region),392
Visitor,Malaysia,18988
Visitor,Mauritius,508
Visitor,Mexico,3022
Visitor,Mongolia,240
Visitor,Nepal,4564
Visitor,Netherlands,5778
Visitor,New Caledonia,3948
Visitor,New Zealand,2520
Visitor,Nigeria,480
Visitor,Niue,316
Visitor,Norway,1182
Visitor,Not Stated,50206
Visitor,Oceania and Antarctica,143908
Visitor,Oman,1176
Visitor,Pakistan,3936
Visitor,Papua New Guinea,1616
Visitor,Peru,734
Visitor,Philippines,55354
Visitor,Portugal,634
Visitor,Qatar,1638
Visitor,Romania,1402
Visitor,Russia,4624
Visitor,Samoa,26800
Visitor,"Samoa, American",2142
Visitor,Saudi Arabia,9504
Visitor,Serbia,376
Visitor,Singapore,18928
Visitor,Slovakia,520
Visitor,South Africa,85204
Visitor,Spain,4166
Visitor,Sri Lanka,10118
Visitor,Sweden,2096
Visitor,Switzerland,3112
Visitor,TOTAL,1054374
Visitor,Thailand,9334
Visitor,The Americas,116266
Visitor,Tonga,20518
Visitor,Turkey,1294
Visitor,Tuvalu,1916
Visitor,Ukraine,1314
Visitor,United Arab Emirates,8052
Visitor,United Kingdom,87556
Visitor,United States of America,55648
Visitor,Uruguay,1992
Visitor,Vanuatu,738
Visitor,Vietnam,5206
Visitor,Zimbabwe,2742
Work,Africa and the Middle East,79198
Work,Argentina,15876
Work,Asia,310286
Work,Australia,37664
Work,Austria,826
Work,Bahrain,620
Work,Bangladesh,980
Work,Belgium,2416
Work,Botswana,318
Work,Brazil,6552
Work,Cambodia,1582
Work,Canada,19510
Work,Chile,12928
Work,China,63864
Work,Colombia,772
Work,Cook Islands,1052
Work,Croatia,600
Work,Czechia,10936
Work,Denmark,1510
Work,Egypt,596
Work,Europe,258548
Work,Fiji,28254
Work,Finland,1148
Work,France,22366
Work,French Polynesia,502
Work,Germany,21830
Work,Hong Kong (Special Administrative Region),4214
Work,Hungary,1002
Work,India,63262
Work,Indonesia,4934
Work,Israel,938
Work,Italy,4844
Work,Japan,19188
Work,Kiribati,386
Work,South Korea,12622
Work,Kuwait,1004
Work,Malaysia,11404
Work,Mexico,2702
Work,Nepal,2016
Work,Netherlands,6384
Work,New Caledonia,588
Work,Nigeria,500
Work,Not Stated,46036
Work,Oceania and Antarctica,79026
Work,Oman,858
Work,Pakistan,1866
Work,Peru,1308
Work,Philippines,76344
Work,Poland,1202
Work,Qatar,3572
Work,Romania,1212
Work,Russia,3246
Work,Samoa,3676
Work,Saudi Arabia,5944
Work,Singapore,11930
Work,Slovenia,714
Work,Solomon Islands,286
Work,South Africa,46978
Work,Spain,2736
Work,Sri Lanka,9964
Work,Sweden,2814
Work,Switzerland,1804
Work,TOTAL,875976
Work,Taiwan,7418
Work,Thailand,7988
Work,The Americas,102880
Work,Tonga,3890
Work,Turkey,1230
Work,Ukraine,1882
Work,United Arab Emirates,8560
Work,United Kingdom,143962
Work,United States of America,38126
Work,Uruguay,3530
Work,Vietnam,8602
Work,Zimbabwe,2392
